"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,14,1,2048,1,65536,4681.1429,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,27,1,2048,1,65536,2427.2593,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,40,1,2048,1,65536,1638.4,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,54,1,2048,1,65536,1213.6296,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,68,1,2048,1,65536,963.7647,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,81,1,2048,1,65536,809.0864,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,94,1,2048,1,65536,697.1915,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,2048,full,256,64,108,1,2048,1,65536,606.8148,65536,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,14,1,256,32,8192,585.1429,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,27,1,256,32,8192,303.4074,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,40,1,256,32,8192,204.8,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,54,1,256,32,8192,151.7037,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,68,1,256,32,8192,120.4706,8192,108,False,False
