"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,94,1,512,4,128,1.3617,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,108,1,512,4,128,1.1852,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,14,1,2048,1,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,27,1,2048,1,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,40,1,2048,1,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,54,1,2048,1,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,68,1,2048,1,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,81,1,2048,1,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,94,1,2048,1,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,full,256,64,108,1,2048,1,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,8192,256,256,64,14,1,256,32,64,4.5714,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,8192,256,256,64,27,1,256,32,64,2.3704,64,64,True,True
