model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
falcon_h1,a100-sxm4-80gb,1024,1,54,50.0,256,4,24,True,2.8272640705108643,0.017028756106613533
falcon_h1,a100-sxm4-80gb,1024,4,54,50.0,256,4,96,False,2.839039921760559,0.009587175266342217
falcon_h1,a100-sxm4-80gb,1024,16,54,50.0,256,4,384,False,6.616064071655273,0.005311011888468966
falcon_h1,a100-sxm4-80gb,1024,32,54,50.0,256,4,768,False,12.610560417175293,0.003573294694511621
falcon_h1,a100-sxm4-80gb,2048,1,54,50.0,256,8,24,True,5.527040004730225,0.02063331140681544
falcon_h1,a100-sxm4-80gb,2048,4,54,50.0,256,8,96,False,5.55622410774231,0.015130387047929074
falcon_h1,a100-sxm4-80gb,2048,16,54,50.0,256,8,384,False,13.121536254882812,0.0038677119864780262
falcon_h1,a100-sxm4-80gb,2048,32,54,50.0,256,8,768,False,25.10848045349121,0.005401306838213779
falcon_h1,a100-sxm4-80gb,4096,1,54,50.0,256,16,24,True,10.949631690979004,0.018906549901860307
falcon_h1,a100-sxm4-80gb,4096,4,54,50.0,256,16,96,False,10.93171215057373,0.022249219625252812
falcon_h1,a100-sxm4-80gb,4096,16,54,50.0,256,16,384,False,26.13913631439209,0.00399384221528627
falcon_h1,a100-sxm4-80gb,4096,32,54,50.0,256,16,768,False,50.109439849853516,0.010617559779418362
falcon_h1,a100-sxm4-80gb,8192,1,54,50.0,256,32,24,True,21.85267162322998,0.0795314557908526
falcon_h1,a100-sxm4-80gb,8192,4,54,50.0,256,32,96,False,21.86649513244629,0.04829393688644287
falcon_h1,a100-sxm4-80gb,8192,16,54,50.0,256,32,384,False,52.164608001708984,0.011717072292001645
falcon_h1,a100-sxm4-80gb,8192,32,54,50.0,256,32,768,False,100.13644790649414,0.04567075940844271
falcon_h1,a100-sxm4-80gb,512,1,68,63.0,256,2,24,True,1.454591989517212,0.008441332080221471
falcon_h1,a100-sxm4-80gb,512,4,68,63.0,256,2,96,False,1.4515199661254883,0.00709778194976608
falcon_h1,a100-sxm4-80gb,512,16,68,63.0,256,2,384,False,2.7612160444259644,0.002004894647383761
falcon_h1,a100-sxm4-80gb,512,32,68,63.0,256,2,768,False,5.277695894241333,0.022369367211521673
falcon_h1,a100-sxm4-80gb,1024,1,68,63.0,256,4,24,True,2.8124159574508667,0.017040749382939722
falcon_h1,a100-sxm4-80gb,1024,4,68,63.0,256,4,96,False,2.8216320276260376,0.007371591824575655
falcon_h1,a100-sxm4-80gb,1024,16,68,63.0,256,4,384,False,5.414400100708008,0.0033943669177653062
falcon_h1,a100-sxm4-80gb,1024,32,68,63.0,256,4,768,False,10.481663703918457,0.010139351406837551
falcon_h1,a100-sxm4-80gb,2048,1,68,63.0,256,8,24,True,5.536768198013306,0.01684295514803816
falcon_h1,a100-sxm4-80gb,2048,4,68,63.0,256,8,96,False,5.528064012527466,0.013603741087726096
falcon_h1,a100-sxm4-80gb,2048,16,68,63.0,256,8,384,False,10.762752056121826,0.044081026764191324
falcon_h1,a100-sxm4-80gb,2048,32,68,63.0,256,8,768,False,21.031424522399902,0.044996844373215016
falcon_h1,a100-sxm4-80gb,4096,1,68,63.0,256,16,24,True,10.939391613006592,0.020074566955743854
falcon_h1,a100-sxm4-80gb,4096,4,68,63.0,256,16,96,False,10.944511890411377,0.028410987851874035
falcon_h1,a100-sxm4-80gb,4096,16,68,63.0,256,16,384,False,21.539328575134277,0.07551660499441698
falcon_h1,a100-sxm4-80gb,4096,32,68,63.0,256,16,768,False,41.944576263427734,0.005588611331697798
falcon_h1,a100-sxm4-80gb,8192,1,68,63.0,256,32,24,True,21.817855834960938,0.033069148845599826
falcon_h1,a100-sxm4-80gb,8192,4,68,63.0,256,32,96,False,21.850111961364746,0.053171449798213484
