metric,batch,context_len,value,unit,value_kind,note
mixer_only_kv_over_state,16,8192,2.642581,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,16,16384,5.285161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,16,32768,10.570323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,16,65536,21.140645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,16,131072,42.28129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,512,0.165161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,1024,0.330323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,2048,0.660645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,4096,1.32129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,8192,2.642581,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,16384,5.285161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,32768,10.570323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,65536,21.140645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,131072,42.28129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
per_layer_ratio_with_weight,1,512,0.35717,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,1024,0.365476,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,2048,0.382089,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,4096,0.415314,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,8192,0.481764,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,16384,0.614664,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,32768,0.880465,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,65536,1.412067,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,131072,2.47527,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,512,0.331998,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,1024,0.360868,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,2048,0.418606,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,4096,0.534084,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,8192,0.765039,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,16384,1.22695,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,32768,2.150771,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,65536,3.998413,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,131072,7.693698,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,512,0.307175,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,1024,0.356323,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,2048,0.454619,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,4096,0.651211,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,8192,1.044395,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,16384,1.830762,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,32768,3.403498,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,65536,6.548969,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,131072,12.839911,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
