layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
mlp,zamba2,40,0.37037037037037035,108,1024,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,14336,359,16,99.83286908077994,99.5952880802959,12.442704166162084,8192,205,99.90243902439025,32,0.09756097560975618,,256,14336,"(256, 1, 1)",11958656,ns,"(112, 128, 1)",11958656.0,10,,,1786913985,cycle,1794175226,cycle,14287610598,warp,,14287610598.0
mlp,zamba2,40,0.37037037037037035,108,1024,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,28672,717,32,99.9721059972106,99.65982849095087,12.450766274053029,16384,410,99.90243902439025,24,0.09756097560975618,,256,28672,"(256, 1, 1)",23956960,ns,"(112, 256, 1)",23956960.0,19,,,3573357216,cycle,3585554250,cycle,28571454675,warp,,28571454675.0
mlp,zamba2,40,0.37037037037037035,108,2048,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,40,672,17,32,98.82352941176471,88.97600892189591,11.079718193922025,512,13,98.46153846153847,32,1.538461538461533,,256,672,"(256, 1, 1)",851104,ns,"(14, 16, 3)",851104.0,3,,,114034228,cycle,128162894,cycle,908805599,warp,,908805599.0
mlp,zamba2,40,0.37037037037037035,108,2048,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,3584,90,24,99.55555555555556,97.54426869500735,12.186473338624298,2048,52,98.46153846153847,8,1.538461538461533,,256,3584,"(256, 1, 1)",3225088,ns,"(112, 32, 1)",3225088.0,1,,,447627473,cycle,458896744,cycle,3579093079,warp,,3579093079.0
mlp,zamba2,40,0.37037037037037035,108,2048,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,14336,359,16,99.83286908077994,99.61208580551641,12.444805557028884,8192,205,99.90243902439025,32,0.09756097560975618,,256,14336,"(256, 1, 1)",11951872,ns,"(112, 128, 1)",11951872.0,1,,,1787014717,cycle,1793973796,cycle,14288419242,warp,,14288419242.0
mlp,zamba2,40,0.37037037037037035,108,2048,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,28672,717,32,99.9721059972106,99.6361772865603,12.447807156635706,16384,410,99.90243902439025,24,0.09756097560975618,,256,28672,"(256, 1, 1)",24345280,ns,"(112, 256, 1)",24345280.0,16,,,3573922367,cycle,3586972588,cycle,28575963553,warp,,28575963553.0
mlp,zamba2,40,0.37037037037037035,108,2048,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,53,57344,1434,24,99.9721059972106,99.72315261259158,12.458675516574477,32768,820,99.90243902439025,8,0.09756097560975618,,256,57344,"(256, 1, 1)",48987840,ns,"(112, 512, 1)",48987840.0,21,,,7146554544,cycle,7166394520,cycle,57141621727,warp,,57141621727.0
mlp,zamba2,40,0.37037037037037035,108,4096,1,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,1792,45,32,99.55555555555556,97.28434470575277,12.154009876856783,1024,26,98.46153846153847,24,1.538461538461533,,256,1792,"(256, 1, 1)",1534912,ns,"(112, 16, 1)",1534912.0,4,,,224363882,cycle,230626914,cycle,1793946746,warp,,1793946746.0
mlp,zamba2,40,0.37037037037037035,108,4096,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,7168,180,8,99.55555555555556,98.97105039403739,12.364723923456902,4096,103,99.41747572815534,16,0.5825242718446644,,256,7168,"(256, 1, 1)",6020256,ns,"(112, 64, 1)",6020256.0,31,,,893859892,cycle,903152880,cycle,7147031054,warp,,7147031054.0
mlp,zamba2,40,0.37037037037037035,108,4096,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,28672,717,32,99.9721059972106,99.63589714046682,12.447773679632848,16384,410,99.90243902439025,24,0.09756097560975618,,256,28672,"(256, 1, 1)",24352160,ns,"(112, 256, 1)",24352160.0,31,,,3574261831,cycle,3587323378,cycle,28578681296,warp,,28578681296.0
