sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,error
54,0.5,1024,64,71.0481948852539,71.05846420288086,13.459895969833864,1000.0,1.3459895969833864,falcon_h1,mlp,
54,0.5,2048,1,2.420736074447632,2.445312023162842,72.77157136603448,1000.0,7.2771571366034475,falcon_h1,mlp,
54,0.5,2048,4,9.120767593383789,9.122826328277588,27.5917829747743,1000.0,2.75917829747743,falcon_h1,mlp,
54,0.5,2048,16,35.540992736816406,35.55038311004639,15.577733916995621,1000.0,1.5577733916995622,falcon_h1,mlp,
54,0.5,2048,32,71.0492172241211,71.06767028808594,13.459702293177935,1000.0,1.3459702293177935,falcon_h1,mlp,
54,0.5,2048,64,142.0052490234375,142.02752853393554,12.405229328595118,1000.0,1.2405229328595118,falcon_h1,mlp,
54,0.5,4096,1,4.751359939575195,4.753407955169678,42.37241433196913,1000.0,4.237241433196913,falcon_h1,mlp,
54,0.5,4096,4,17.928192138671875,17.930250873565672,19.65181616053899,1000.0,1.9651816160538988,falcon_h1,mlp,
54,0.5,4096,16,71.04716491699219,71.05844375610351,13.460091097474372,1000.0,1.3460091097474374,falcon_h1,mlp,
54,0.5,4096,32,142.0052490234375,142.026485748291,12.405229328595118,1000.0,1.2405229328595118,falcon_h1,mlp,
54,0.5,4096,64,283.9029846191406,283.9295959472656,11.878073140104094,1000.0,1.1878073140104095,falcon_h1,mlp,
54,0.5,8192,1,9.120767593383789,9.12281608581543,27.5917829747743,1000.0,2.75917829747743,falcon_h1,mlp,
54,0.5,8192,4,35.53996658325195,35.547165145874025,15.57818369646144,1000.0,1.557818369646144,falcon_h1,mlp,
54,0.5,8192,16,142.00218200683594,142.02267974853515,12.405497261409666,1000.0,1.2405497261409666,falcon_h1,mlp,
54,0.5,8192,32,283.90757751464844,283.9419354248047,11.877880983384488,1000.0,1.1877880983384488,falcon_h1,mlp,
54,0.5,8192,64,567.4116821289062,567.4568994140625,11.620215261098698,1000.0,1.1620215261098699,falcon_h1,mlp,
54,0.5,16384,1,17.927167892456055,17.930240631103516,19.652938942366948,1000.0,1.9652938942366946,falcon_h1,mlp,
54,0.5,16384,4,71.04512023925781,71.0625407409668,13.460478478739644,1000.0,1.3460478478739644,falcon_h1,mlp,
54,0.5,16384,16,283.90093994140625,283.9445465087891,11.878158686956041,1000.0,1.1878158686956042,falcon_h1,mlp,
54,0.5,16384,32,567.4588012695312,567.5148327636718,11.61925037244818,1000.0,1.161925037244818,falcon_h1,mlp,
54,0.5,16384,64,1134.7220458984375,1141.9704187011719,11.488185039780896,1000.0,1.1488185039780896,falcon_h1,mlp,
68,0.6296296296296297,512,1,0.6922240257263184,0.6952959895133972,227.21892646671242,1000.0,22.72189264667124,falcon_h1,mlp,
68,0.6296296296296297,512,4,1.884160041809082,1.903615951538086,93.49565009926583,1000.0,9.349565009926582,falcon_h1,mlp,
68,0.6296296296296297,512,16,7.332863807678223,7.3349220657348635,34.319230058042166,1000.0,3.431923005804217,falcon_h1,mlp,
68,0.6296296296296297,512,32,14.434304237365723,14.437376022338867,24.408626159337423,1000.0,2.4408626159337423,falcon_h1,mlp,
68,0.6296296296296297,512,64,28.77132797241211,29.0795619392395,19.243050877973904,1000.0,1.9243050877973904,falcon_h1,mlp,
68,0.6296296296296297,1024,1,1.0967040061950684,1.1079679727554321,149.15406078210748,1000.0,14.915406078210747,falcon_h1,mlp,
68,0.6296296296296297,1024,4,3.6771841049194336,3.6956262469291685,54.75020729330903,1000.0,5.475020729330903,falcon_h1,mlp,
68,0.6296296296296297,1024,16,14.435327529907227,14.507048559188842,24.40689587888168,1000.0,2.4406895878881683,falcon_h1,mlp,
68,0.6296296296296297,1024,32,28.704256057739258,28.906496047973633,19.288015229738903,1000.0,1.9288015229738904,falcon_h1,mlp,
68,0.6296296296296297,1024,64,56.6220817565918,57.64729694366455,16.88919379741226,1000.0,1.688919379741226,falcon_h1,mlp,
68,0.6296296296296297,2048,1,1.884160041809082,1.903615951538086,93.49565009926583,1000.0,9.349565009926582,falcon_h1,mlp,
68,0.6296296296296297,2048,4,7.332863807678223,7.3349220657348635,34.319230058042166,1000.0,3.431923005804217,falcon_h1,mlp,
68,0.6296296296296297,2048,16,28.467199325561523,28.487229385375976,19.448633554297814,1000.0,1.9448633554297812,falcon_h1,mlp,
68,0.6296296296296297,2048,32,56.6220817565918,57.484328231811524,16.88919379741226,1000.0,1.688919379741226,falcon_h1,mlp,
68,0.6296296296296297,2048,64,114.07513427734375,115.9385587310791,15.442521204639682,1000.0,1.5442521204639683,falcon_h1,mlp,
68,0.6296296296296297,4096,1,3.678208112716675,3.714058148860931,54.73496491510452,1000.0,5.473496491510452,falcon_h1,mlp,
68,0.6296296296296297,4096,4,14.28275203704834,14.438400268554688,24.667622534236088,1000.0,2.466762253423609,falcon_h1,mlp,
68,0.6296296296296297,4096,16,57.232383728027344,57.47611759185791,16.70909456688746,1000.0,1.6709094566887461,falcon_h1,mlp,
68,0.6296296296296297,4096,32,114.0864028930664,115.29832710266113,15.44099590598155,1000.0,1.5440995905981552,falcon_h1,mlp,
68,0.6296296296296297,4096,64,229.58080291748047,233.21531890869142,14.688599278102954,1000.0,1.4688599278102954,falcon_h1,mlp,
68,0.6296296296296297,8192,1,7.4106879234313965,7.44652795791626,33.95882306746413,1000.0,3.395882306746413,falcon_h1,mlp,
68,0.6296296296296297,8192,4,28.77337646484375,28.77849578857422,19.241680887763216,1000.0,1.9241680887763217,falcon_h1,mlp,
68,0.6296296296296297,8192,16,114.0848617553711,115.5663759613037,15.441204493698427,1000.0,1.5441204493698428,falcon_h1,mlp,
68,0.6296296296296297,8192,32,229.8936309814453,232.6068051147461,14.66861174710913,1000.0,1.466861174710913,falcon_h1,mlp,
68,0.6296296296296297,8192,64,460.8634796142578,467.09192840576173,14.306722445264498,1000.0,1.4306722445264497,falcon_h1,mlp,
68,0.6296296296296297,16384,1,14.435327529907227,14.58995246887207,24.40689587888168,1000.0,2.4406895878881683,falcon_h1,mlp,
68,0.6296296296296297,16384,4,57.83756637573242,58.04607555389404,16.534259166223258,1000.0,1.6534259166223257,falcon_h1,mlp,
68,0.6296296296296297,16384,16,231.2099838256836,234.2227520751953,14.585098619886685,1000.0,1.4585098619886685,falcon_h1,mlp,
68,0.6296296296296297,16384,32,463.4537048339844,469.530308227539,14.226762714868931,1000.0,1.4226762714868932,falcon_h1,mlp,
68,0.6296296296296297,16384,64,918.6467895507812,930.8216687011719,14.190325357120727,1000.0,1.4190325357120728,falcon_h1,mlp,
81,0.75,512,1,0.567296028137207,0.6901862502098084,277.2563039379477,1000.0,27.72563039379477,falcon_h1,mlp,
81,0.75,512,4,1.7203199863433838,1.736714231967926,102.40000081289382,1000.0,10.240000081289383,falcon_h1,mlp,
81,0.75,512,16,6.294528007507324,6.50650619506836,39.98047823440511,1000.0,3.9980478234405115,falcon_h1,mlp,
81,0.75,512,32,12.25830364227295,12.462080001831055,28.7414593635137,1000.0,2.87414593635137,falcon_h1,mlp,
81,0.75,512,64,24.6507511138916,25.00510757446289,22.45968593176047,1000.0,2.245968593176047,falcon_h1,mlp,
81,0.75,1024,1,1.0147839784622192,1.0250240564346313,161.1947561961731,1000.0,16.11947561961731,falcon_h1,mlp,
81,0.75,1024,4,3.127295970916748,3.3013863444328306,64.37721081480571,1000.0,6.437721081480571,falcon_h1,mlp,
81,0.75,1024,16,12.194815635681152,12.463544569015502,28.891091634803608,1000.0,2.889109163480361,falcon_h1,mlp,
81,0.75,1024,32,24.4966402053833,24.909844856262207,22.600982149312543,1000.0,2.2600982149312543,falcon_h1,mlp,
