"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm_full,1,2048,256,256,0,40,ok,30,64,1.6,0.63078,0.00659,120.961,5.932
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,40,ok,30,128,3.2,0.67379,0.00519,133.107,6.528
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,40,ok,30,512,12.8,1.66502,0.00199,102.101,5.007
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,40,ok,30,1024,25.6,3.26963,0.00292,84.745,4.156
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,40,ok,30,2048,51.2,6.52083,0.00304,75.337,3.695
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,40,ok,30,4096,102.4,12.86246,0.00874,71.495,3.506
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,40,ok,30,8192,204.8,25.79558,0.01103,68.86,3.377
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,40,ok,30,16384,409.6,51.18157,0.00871,68.182,3.344
falcon_h1_3b,verified,attn,1,2048,256,256,0,40,ok,30,40,1.0,0.04915,0.00149,117.333,5.754
falcon_h1_3b,verified,attn,1,2048,256,256,4096,40,ok,30,40,1.0,0.13466,0.0025,73.977,3.628
falcon_h1_3b,verified,attn,1,2048,512,512,0,40,ok,30,80,2.0,0.07168,0.00192,160.914,7.892
falcon_h1_3b,verified,attn,1,2048,512,512,4096,40,ok,30,80,2.0,0.2304,0.00126,68.267,3.348
falcon_h1_3b,verified,attn,8,2048,256,256,0,40,ok,30,320,8.0,0.06656,0.00094,693.169,33.996
falcon_h1_3b,verified,attn,8,2048,256,256,4096,40,ok,30,320,8.0,0.61133,0.00151,130.358,6.393
falcon_h1_3b,verified,attn,8,2048,512,512,0,40,ok,30,640,16.0,0.14234,0.00313,648.288,31.794
falcon_h1_3b,verified,attn,8,2048,512,512,4096,40,ok,30,640,16.0,1.2585,0.01307,99.984,4.904
falcon_h1_3b,verified,attn,32,2048,256,256,0,40,ok,30,1280,32.0,0.17306,0.0021,1066.414,52.301
falcon_h1_3b,verified,attn,32,2048,256,256,4096,40,ok,30,1280,32.0,2.34598,0.00146,135.878,6.664
falcon_h1_3b,verified,attn,32,2048,512,512,0,40,ok,30,2560,64.0,0.44646,0.0027,826.716,40.545
falcon_h1_3b,verified,attn,32,2048,512,512,4096,40,ok,30,2560,64.0,4.91418,0.00197,102.421,5.023
falcon_h1_3b,verified,attn,128,2048,256,256,0,40,ok,30,5120,128.0,0.58675,0.00179,1258.108,61.702
falcon_h1_3b,verified,attn,128,2048,256,256,4096,40,ok,30,5120,128.0,9.25696,0.00273,137.742,6.755
falcon_h1_3b,verified,attn,128,2048,512,512,0,40,ok,30,10240,256.0,1.65888,0.00277,889.995,43.649
falcon_h1_3b,verified,attn,128,2048,512,512,4096,40,ok,30,10240,256.0,19.52666,0.00843,103.103,5.057
falcon_h1_3b,verified,ssm,1,2048,256,256,0,54,ok,30,64,1.1852,0.50637,0.00913,8.834,0.433
falcon_h1_3b,verified,ssm,1,2048,512,512,0,54,ok,30,128,2.3704,0.51507,0.00622,17.368,0.852
falcon_h1_3b,verified,ssm,8,2048,256,256,0,54,ok,30,512,9.4815,0.59955,0.00802,59.683,2.927
falcon_h1_3b,verified,ssm,8,2048,512,512,0,54,ok,30,1024,18.963,0.77568,0.00434,92.262,4.525
falcon_h1_3b,verified,ssm,32,2048,256,256,0,54,ok,30,2048,37.9259,1.38496,0.00396,103.347,5.068
falcon_h1_3b,verified,ssm,32,2048,512,512,0,54,ok,30,4096,75.8519,2.53952,0.00416,112.723,5.528
falcon_h1_3b,verified,ssm,128,2048,256,256,0,54,ok,30,8192,151.7037,5.03808,0.0678,113.639,5.573
falcon_h1_3b,verified,ssm,128,2048,512,512,0,54,ok,30,16384,303.4074,9.58362,0.0081,119.479,5.86
falcon_h1_3b,verified,ssm_full,1,2048,256,256,0,54,ok,30,64,1.1852,0.6144,0.00858,124.187,6.091
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,54,ok,30,128,2.3704,0.66458,0.00571,134.953,6.619
