"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
zamba2_2.7b,verified,attn,64,256,0,8,30,5120,94,94,94,109.077
zamba2_2.7b,verified,attn,64,256,4096,8,30,5120,108,108,108,41.437
zamba2_2.7b,verified,attn,64,512,0,8,30,10240,108,108,108,92.007
zamba2_2.7b,verified,attn,64,512,4096,8,30,10240,108,108,108,24.641
zamba2_2.7b,verified,attn,128,256,0,8,30,10240,94,94,94,110.157
zamba2_2.7b,verified,attn,128,256,4096,8,30,10240,108,108,108,41.661
zamba2_2.7b,verified,attn,128,512,0,8,30,20480,108,108,108,93.797
zamba2_2.7b,verified,attn,128,512,4096,8,30,20480,108,108,108,24.749
zamba2_2.7b,verified,attn,256,256,0,8,30,20480,94,94,94,114.54
zamba2_2.7b,verified,attn,256,256,4096,8,30,20480,108,108,108,41.448
zamba2_2.7b,verified,attn,256,512,0,8,30,40960,108,108,108,94.363
zamba2_2.7b,verified,attn,256,512,4096,8,30,40960,108,108,108,24.794
zamba2_2.7b,verified,attn,512,256,0,8,30,40960,94,94,94,113.03
zamba2_2.7b,verified,attn,512,256,4096,8,30,40960,108,108,108,41.636
zamba2_2.7b,verified,attn,512,512,0,8,30,81920,108,108,108,95.225
zamba2_2.7b,verified,attn,512,512,4096,8,30,81920,108,108,108,24.837
