"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,40,ok,30,640,16.0,1.93638,0.00196,106.035,5.2
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,40,ok,30,1280,32.0,3.84614,0.00193,86.322,4.234
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,40,ok,30,2560,64.0,7.64416,0.00456,76.577,3.756
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,40,ok,30,5120,128.0,15.22278,0.23972,71.741,3.518
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,40,ok,30,10240,256.0,30.5239,0.05058,68.98,3.383
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,40,ok,30,20480,512.0,60.90906,0.04146,67.846,3.327
zamba2_2.7b,verified,attn,1,2048,256,256,0,40,ok,30,128,3.2,0.08499,0.00099,277.59,13.614
zamba2_2.7b,verified,attn,1,2048,256,256,4096,40,ok,30,128,3.2,0.41574,0.00227,258.522,12.679
zamba2_2.7b,verified,attn,1,2048,512,512,0,40,ok,30,256,6.4,0.10342,0.00285,456.238,22.376
zamba2_2.7b,verified,attn,1,2048,512,512,4096,40,ok,30,256,6.4,0.84378,0.0012,155.34,7.618
zamba2_2.7b,verified,attn,8,2048,256,256,0,40,ok,30,1024,25.6,0.19354,0.00203,975.238,47.829
zamba2_2.7b,verified,attn,8,2048,256,256,4096,40,ok,30,1024,25.6,2.5088,0.00096,342.727,16.809
zamba2_2.7b,verified,attn,8,2048,512,512,0,40,ok,30,2048,51.2,0.49869,0.00366,756.961,37.124
zamba2_2.7b,verified,attn,8,2048,512,512,4096,40,ok,30,2048,51.2,5.23571,0.00146,200.274,9.822
zamba2_2.7b,verified,attn,32,2048,256,256,0,40,ok,30,4096,102.4,0.66765,0.00199,1130.798,55.458
zamba2_2.7b,verified,attn,32,2048,256,256,4096,40,ok,30,4096,102.4,9.84781,0.0038,349.248,17.128
zamba2_2.7b,verified,attn,32,2048,512,512,0,40,ok,30,8192,204.8,1.85754,0.00367,812.878,39.866
zamba2_2.7b,verified,attn,32,2048,512,512,4096,40,ok,30,8192,204.8,20.56602,0.01669,203.943,10.002
zamba2_2.7b,verified,attn,128,2048,256,256,0,40,ok,30,16384,409.6,2.55283,0.00264,1182.96,58.017
zamba2_2.7b,verified,attn,128,2048,256,256,4096,40,ok,30,16384,409.6,38.69491,0.01098,355.533,17.437
zamba2_2.7b,verified,attn,128,2048,512,512,0,40,ok,30,32768,819.2,7.28269,0.00339,829.336,40.674
zamba2_2.7b,verified,attn,128,2048,512,512,4096,40,ok,30,32768,819.2,81.7152,0.02732,205.313,10.069
zamba2_2.7b,verified,ssm,1,2048,256,256,0,54,ok,30,80,1.4815,0.52787,0.0089,10.135,0.497
zamba2_2.7b,verified,ssm,1,2048,512,512,0,54,ok,30,160,2.963,0.55501,0.0103,19.278,0.945
zamba2_2.7b,verified,ssm,8,2048,256,256,0,54,ok,30,640,11.8519,0.71578,0.00644,59.789,2.932
zamba2_2.7b,verified,ssm,8,2048,512,512,0,54,ok,30,1280,23.7037,0.9303,0.00646,92.003,4.512
zamba2_2.7b,verified,ssm,32,2048,256,256,0,54,ok,30,2560,47.4074,1.37267,0.00651,124.706,6.116
zamba2_2.7b,verified,ssm,32,2048,512,512,0,54,ok,30,5120,94.8148,2.39462,0.00501,142.97,7.012
zamba2_2.7b,verified,ssm,128,2048,256,256,0,54,ok,30,10240,189.6296,4.69811,0.00693,145.744,7.148
zamba2_2.7b,verified,ssm,128,2048,512,512,0,54,ok,30,20480,379.2593,9.16122,0.01713,149.482,7.331
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,54,ok,30,80,1.4815,0.64768,0.00665,145.873,7.154
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,54,ok,30,160,2.963,0.71526,0.00656,154.228,7.564
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,54,ok,30,640,11.8519,1.46944,0.00146,139.73,6.853
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,54,ok,30,1280,23.7037,2.90458,0.00157,114.304,5.606
