"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
falcon_h1_3b,verified,attn,4,512,0,8,30,512,81,81,81,39.459
falcon_h1_3b,verified,attn,4,512,4096,8,30,512,54,54,54,6.039
falcon_h1_3b,verified,attn,8,256,0,8,30,512,81,81,81,48.037
falcon_h1_3b,verified,attn,8,256,4096,8,30,512,54,54,54,8.104
falcon_h1_3b,verified,attn,8,512,0,8,30,1024,108,68,108,51.993
falcon_h1_3b,verified,attn,8,512,4096,8,30,1024,81,81,81,9.513
falcon_h1_3b,verified,attn,16,256,0,8,30,1024,81,81,81,64.991
falcon_h1_3b,verified,attn,16,256,4096,8,30,1024,81,81,81,12.723
falcon_h1_3b,verified,attn,16,512,0,8,30,2048,108,108,108,70.15
falcon_h1_3b,verified,attn,16,512,4096,8,30,2048,108,108,108,12.356
falcon_h1_3b,verified,attn,32,256,0,8,30,2048,94,94,94,88.388
falcon_h1_3b,verified,attn,32,256,4096,8,30,2048,108,108,108,16.012
falcon_h1_3b,verified,attn,32,512,0,8,30,4096,94,94,94,80.72
falcon_h1_3b,verified,attn,32,512,4096,8,30,4096,108,108,108,12.206
falcon_h1_3b,verified,attn,64,256,0,8,30,4096,94,81,94,105.224
falcon_h1_3b,verified,attn,64,256,4096,8,30,4096,108,108,108,15.932
falcon_h1_3b,verified,attn,64,512,0,8,30,8192,108,108,108,91.832
falcon_h1_3b,verified,attn,64,512,4096,8,30,8192,108,108,108,12.219
falcon_h1_3b,verified,attn,128,256,0,8,30,8192,94,94,94,121.496
