"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm_full,1,2048,256,256,0,40,ok,30,96,2.4,0.59802,0.00631,80.261,3.936
falcon_h1_1.5b,verified,ssm_full,1,2048,512,512,0,40,ok,30,192,4.8,0.65126,0.00524,89.434,4.386
falcon_h1_1.5b,verified,ssm_full,8,2048,256,256,0,40,ok,30,768,19.2,1.25952,0.00111,95.064,4.662
falcon_h1_1.5b,verified,ssm_full,8,2048,512,512,0,40,ok,30,1536,38.4,2.37568,0.00176,84.91,4.164
falcon_h1_1.5b,verified,ssm_full,32,2048,256,256,0,40,ok,30,3072,76.8,4.59571,0.0021,79.572,3.903
falcon_h1_1.5b,verified,ssm_full,32,2048,512,512,0,40,ok,30,6144,153.6,9.06701,0.00379,76.501,3.752
falcon_h1_1.5b,verified,ssm_full,128,2048,256,256,0,40,ok,30,12288,307.2,18.30707,0.00937,73.716,3.615
falcon_h1_1.5b,verified,ssm_full,128,2048,512,512,0,40,ok,30,24576,614.4,36.32026,0.02852,73.273,3.594
falcon_h1_1.5b,verified,attn,1,2048,256,256,0,40,ok,30,32,0.8,0.0471,0.00087,100.174,4.913
falcon_h1_1.5b,verified,attn,1,2048,256,256,4096,40,ok,30,32,0.8,0.12032,0.00259,74.077,3.633
falcon_h1_1.5b,verified,attn,1,2048,512,512,0,40,ok,30,64,1.6,0.06656,0.00168,141.785,6.954
falcon_h1_1.5b,verified,attn,1,2048,512,512,4096,40,ok,30,64,1.6,0.18534,0.00119,73.547,3.607
falcon_h1_1.5b,verified,attn,8,2048,256,256,0,40,ok,30,256,6.4,0.05837,0.00148,646.737,31.718
falcon_h1_1.5b,verified,attn,8,2048,256,256,4096,40,ok,30,256,6.4,0.6103,0.00159,116.832,5.73
falcon_h1_1.5b,verified,attn,8,2048,512,512,0,40,ok,30,512,12.8,0.12288,0.00292,614.4,30.132
falcon_h1_1.5b,verified,attn,8,2048,512,512,4096,40,ok,30,512,12.8,1.11206,0.00178,98.063,4.809
falcon_h1_1.5b,verified,attn,32,2048,256,256,0,40,ok,30,1024,25.6,0.14541,0.00155,1038.423,50.928
falcon_h1_1.5b,verified,attn,32,2048,256,256,4096,40,ok,30,1024,25.6,1.91693,0.00411,148.786,7.297
falcon_h1_1.5b,verified,attn,32,2048,512,512,0,40,ok,30,2048,51.2,0.36557,0.00276,826.084,40.514
falcon_h1_1.5b,verified,attn,32,2048,512,512,4096,40,ok,30,2048,51.2,4.00077,0.00248,109.031,5.347
falcon_h1_1.5b,verified,attn,128,2048,256,256,0,40,ok,30,4096,102.4,0.47718,0.00165,1265.717,62.075
falcon_h1_1.5b,verified,attn,128,2048,256,256,4096,40,ok,30,4096,102.4,7.5136,0.00244,151.838,7.447
falcon_h1_1.5b,verified,attn,128,2048,512,512,0,40,ok,30,8192,204.8,1.33632,0.00239,903.945,44.333
falcon_h1_1.5b,verified,attn,128,2048,512,512,4096,40,ok,30,8192,204.8,15.70509,0.01212,111.1,5.449
falcon_h1_1.5b,verified,ssm,1,2048,256,256,0,54,ok,30,96,1.7778,0.50739,0.01089,6.765,0.332
falcon_h1_1.5b,verified,ssm,1,2048,512,512,0,54,ok,30,192,3.5556,0.51149,0.00585,13.422,0.658
falcon_h1_1.5b,verified,ssm,8,2048,256,256,0,54,ok,30,768,14.2222,0.61645,0.00675,44.545,2.185
falcon_h1_1.5b,verified,ssm,8,2048,512,512,0,54,ok,30,1536,28.4444,0.74752,0.00387,73.469,3.603
falcon_h1_1.5b,verified,ssm,32,2048,256,256,0,54,ok,30,3072,56.8889,1.30662,0.00366,84.063,4.123
falcon_h1_1.5b,verified,ssm,32,2048,512,512,0,54,ok,30,6144,113.7778,2.37824,0.0075,92.37,4.53
falcon_h1_1.5b,verified,ssm,128,2048,256,256,0,54,ok,30,12288,227.5556,4.83738,0.00952,90.825,4.454
falcon_h1_1.5b,verified,ssm,128,2048,512,512,0,54,ok,30,24576,455.1111,9.25286,0.24702,94.966,4.657
falcon_h1_1.5b,verified,ssm_full,1,2048,256,256,0,54,ok,30,96,1.7778,0.60211,0.00576,79.715,3.91
falcon_h1_1.5b,verified,ssm_full,1,2048,512,512,0,54,ok,30,192,3.5556,0.64102,0.00526,90.863,4.456
falcon_h1_1.5b,verified,ssm_full,8,2048,256,256,0,54,ok,30,768,14.2222,0.98202,0.00202,121.927,5.98
falcon_h1_1.5b,verified,ssm_full,8,2048,512,512,0,54,ok,30,1536,28.4444,1.76026,0.00203,114.597,5.62
falcon_h1_1.5b,verified,ssm_full,32,2048,256,256,0,54,ok,30,3072,56.8889,3.43142,0.00192,106.571,5.227
falcon_h1_1.5b,verified,ssm_full,32,2048,512,512,0,54,ok,30,6144,113.7778,6.65754,0.0027,104.188,5.11
falcon_h1_1.5b,verified,ssm_full,128,2048,256,256,0,54,ok,30,12288,227.5556,13.5209,0.00774,99.81,4.895
falcon_h1_1.5b,verified,ssm_full,128,2048,512,512,0,54,ok,30,24576,455.1111,26.75405,0.01627,99.472,4.878
falcon_h1_1.5b,verified,attn,1,2048,256,256,0,54,ok,30,32,0.5926,0.04608,0.00267,102.4,5.022
falcon_h1_1.5b,verified,attn,1,2048,256,256,4096,54,ok,30,32,0.5926,0.0983,0.00107,90.667,4.447
falcon_h1_1.5b,verified,attn,1,2048,512,512,0,54,ok,30,64,1.1852,0.05478,0.00087,172.262,8.448
falcon_h1_1.5b,verified,attn,1,2048,512,512,4096,54,ok,30,64,1.1852,0.15155,0.00168,89.946,4.411
falcon_h1_1.5b,verified,attn,8,2048,256,256,0,54,ok,30,256,4.7407,0.05222,0.00143,722.824,35.45
falcon_h1_1.5b,verified,attn,8,2048,256,256,4096,54,ok,30,256,4.7407,0.4823,0.00149,147.839,7.251
falcon_h1_1.5b,verified,attn,8,2048,512,512,0,54,ok,30,512,9.4815,0.10342,0.00341,729.98,35.801
falcon_h1_1.5b,verified,attn,8,2048,512,512,4096,54,ok,30,512,9.4815,0.81152,0.00109,134.38,6.59
falcon_h1_1.5b,verified,attn,32,2048,256,256,0,54,ok,30,1024,18.963,0.11776,0.00169,1282.226,62.885
falcon_h1_1.5b,verified,attn,32,2048,256,256,4096,54,ok,30,1024,18.963,1.48275,0.01002,192.354,9.434
falcon_h1_1.5b,verified,attn,32,2048,512,512,0,54,ok,30,2048,37.9259,0.28365,0.0041,1064.664,52.215
falcon_h1_1.5b,verified,attn,32,2048,512,512,4096,54,ok,30,2048,37.9259,2.94195,0.00133,148.271,7.272
falcon_h1_1.5b,verified,attn,128,2048,256,256,0,54,ok,30,4096,75.8519,0.36352,0.00194,1661.476,81.485
falcon_h1_1.5b,verified,attn,128,2048,256,256,4096,54,ok,30,4096,75.8519,5.51885,0.00192,206.719,10.138
falcon_h1_1.5b,verified,attn,128,2048,512,512,0,54,ok,30,8192,151.7037,1.00352,0.00243,1203.722,59.035
falcon_h1_1.5b,verified,attn,128,2048,512,512,4096,54,ok,30,8192,151.7037,11.62035,0.00338,150.153,7.364
falcon_h1_1.5b,verified,ssm,1,2048,256,256,0,68,ok,30,96,1.4118,0.50227,0.00789,6.834,0.335
falcon_h1_1.5b,verified,ssm,1,2048,512,512,0,68,ok,30,192,2.8235,0.51046,0.00635,13.449,0.66
falcon_h1_1.5b,verified,ssm,8,2048,256,256,0,68,ok,30,768,11.2941,0.58726,0.00681,46.759,2.293
