"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
falcon_h1_1.5b,verified,ssm,scan,64,2048,512,512,0,108,3.54816,0.02269,123.826,6.073,12288,ok,40.34
falcon_h1_1.5b,verified,ssm,out_proj,64,2048,512,512,0,108,1.60512,0.02265,216.885,10.637,,ok,40.34
falcon_h1_1.5b,verified,ssm,attn,64,2048,512,512,0,108,0.29696,0.00505,2033.876,99.749,4096,ok,40.34
falcon_h1_1.5b,verified,ssm,in_proj,64,2048,full,2048,0,108,13.15584,0.01065,165.147,8.099,,ok,41.225
falcon_h1_1.5b,verified,ssm,scan,64,2048,full,2048,0,108,13.73901,0.02153,127.914,6.273,49152,ok,41.225
falcon_h1_1.5b,verified,ssm,out_proj,64,2048,full,2048,0,108,6.43174,0.03043,210.637,10.33,,ok,41.225
falcon_h1_1.5b,verified,ssm,attn,64,2048,full,2048,0,108,3.09658,0.00838,780.19,38.263,16384,ok,41.225
falcon_h1_1.5b,verified,ssm,in_proj,128,2048,256,256,0,108,3.64032,0.16837,154.392,7.572,,ok,40.805
falcon_h1_1.5b,verified,ssm,scan,128,2048,256,256,0,108,3.64237,0.02249,120.623,5.916,12288,ok,40.805
falcon_h1_1.5b,verified,ssm,out_proj,128,2048,256,256,0,108,1.64352,0.01895,211.818,10.388,,ok,40.805
falcon_h1_1.5b,verified,ssm,attn,128,2048,256,256,0,108,0.21606,0.00362,2795.374,137.095,4096,ok,40.805
falcon_h1_1.5b,verified,ssm,in_proj,128,2048,512,512,0,108,6.62426,0.33589,165.891,8.136,,ok,41.866
falcon_h1_1.5b,verified,ssm,scan,128,2048,512,512,0,108,7.0999,0.0235,123.763,6.07,24576,ok,41.866
falcon_h1_1.5b,verified,ssm,out_proj,128,2048,512,512,0,108,3.2343,0.07006,211.381,10.367,,ok,41.866
falcon_h1_1.5b,verified,ssm,attn,128,2048,512,512,0,108,0.56371,0.00502,2142.866,105.094,8192,ok,41.866
falcon_h1_1.5b,verified,ssm,in_proj,128,2048,full,2048,0,108,26.37056,0.24112,163.824,8.035,,ok,41.086
falcon_h1_1.5b,verified,ssm,scan,128,2048,full,2048,0,108,27.45907,0.01972,128.002,6.278,98304,ok,41.086
falcon_h1_1.5b,verified,ssm,out_proj,128,2048,full,2048,0,108,13.00378,0.12478,207.396,10.171,,ok,41.086
falcon_h1_1.5b,verified,ssm,attn,128,2048,full,2048,0,108,6.0969,0.00868,792.508,38.867,32768,ok,41.086
falcon_h1_1.5b,verified,ssm,in_proj,256,2048,256,256,0,108,7.26118,0.3356,151.34,7.422,,ok,41.139
falcon_h1_1.5b,verified,ssm,scan,256,2048,256,256,0,108,7.35386,0.02384,119.489,5.86,24576,ok,41.139
falcon_h1_1.5b,verified,ssm,out_proj,256,2048,256,256,0,108,3.26042,0.01125,209.688,10.284,,ok,41.139
falcon_h1_1.5b,verified,ssm,attn,256,2048,256,256,0,108,0.40243,0.00334,3001.649,147.212,8192,ok,41.139
falcon_h1_1.5b,verified,ssm,in_proj,256,2048,512,512,0,108,13.16915,0.00996,164.98,8.091,,ok,41.844
falcon_h1_1.5b,verified,ssm,scan,256,2048,512,512,0,108,14.16192,0.02603,124.094,6.086,49152,ok,41.844
falcon_h1_1.5b,verified,ssm,out_proj,256,2048,512,512,0,108,6.51366,0.02426,207.987,10.2,,ok,41.844
falcon_h1_1.5b,verified,ssm,attn,256,2048,512,512,0,108,1.1008,0.00373,2194.694,107.636,16384,ok,41.844
falcon_h1_1.5b,verified,ssm,in_proj,256,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,scan,256,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,out_proj,256,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,attn,256,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,in_proj,512,2048,256,256,0,108,13.17683,0.05185,164.884,8.087,,ok,42.713
falcon_h1_1.5b,verified,ssm,scan,512,2048,256,256,0,108,14.67546,0.0233,119.752,5.873,49152,ok,42.713
falcon_h1_1.5b,verified,ssm,out_proj,512,2048,256,256,0,108,6.50598,0.03552,208.233,10.213,,ok,42.713
falcon_h1_1.5b,verified,ssm,attn,512,2048,256,256,0,108,0.78541,0.00435,3076.005,150.859,16384,ok,42.713
falcon_h1_1.5b,verified,ssm,in_proj,512,2048,512,512,0,108,26.38336,0.3689,163.745,8.031,,ok,41.866
falcon_h1_1.5b,verified,ssm,scan,512,2048,512,512,0,108,28.36429,0.01723,123.917,6.077,98304,ok,41.866
falcon_h1_1.5b,verified,ssm,out_proj,512,2048,512,512,0,108,13.00173,0.1345,207.429,10.173,,ok,41.866
falcon_h1_1.5b,verified,ssm,attn,512,2048,512,512,0,108,2.19597,0.00403,2200.323,107.912,32768,ok,41.866
falcon_h1_1.5b,verified,ssm,in_proj,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,scan,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,out_proj,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
falcon_h1_1.5b,verified,ssm,attn,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
