sm_count,sm_ratio,seq_len,batch_size,context_len,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type
27,0.25,256,4,0,8.334847927093506,12.69155824661255,40.50961396697504,1935,2.0935201016524565,zamba2,attn
27,0.25,256,16,0,28.089856147766113,40.75378582000732,26.130543215984844,1935,1.350415670076736,zamba2,attn
27,0.25,512,1,0,4.297728061676025,6.452295460700989,63.19180276243186,1935,3.265726240952551,zamba2,attn
27,0.25,512,4,0,14.329855918884277,20.696084480285645,32.78204963533057,1935,1.694162771851709,zamba2,attn
27,0.25,512,16,0,56.9246711730957,82.12408096313473,22.178178248251143,1935,1.1461590825969583,zamba2,attn
27,0.25,1024,1,0,8.69324779510498,12.976178827285766,38.839508542494336,1935,2.007209743798157,zamba2,attn
27,0.25,1024,4,0,29.36780834197998,46.57051609039306,24.993461938076425,1935,1.2916517797455518,zamba2,attn
27,0.25,1024,16,0,121.72851181030273,162.61837936401366,19.054287919124047,1935,0.9847177219185553,zamba2,attn
27,0.25,2048,1,0,18.082304000854492,26.62319133758545,25.979103546638807,1935,1.3425893305756489,zamba2,attn
27,0.25,2048,4,0,66.57740783691406,95.32529006958008,18.962671347802324,1935,0.9799830153903009,zamba2,attn
27,0.25,2048,16,0,283.92498779296875,309.1319659423828,15.614614840567372,1935,0.8069568393058073,zamba2,attn
27,0.25,4096,1,0,41.421823501586914,60.432691688537595,17.72020490531711,1935,0.9157728633238817,zamba2,attn
27,0.25,4096,4,0,160.39679718017578,201.35474487304688,14.460700916580848,1935,0.7473230447845399,zamba2,attn
27,0.25,4096,16,0,675.219970703125,715.6485931396485,12.827283160746589,1935,0.6629086904778598,zamba2,attn
40,0.37037037037037035,256,1,0,0.8765439987182617,5.626900649070739,272.14953310823466,1935,14.064575354430733,zamba2,attn
40,0.37037037037037035,256,4,0,5.022719860076904,11.947028608322144,67.22283571571326,1935,3.474048357401202,zamba2,attn
40,0.37037037037037035,256,16,0,19.787775993347168,32.83075012207031,37.09376941839136,1935,1.9169906676171244,zamba2,attn
40,0.37037037037037035,512,1,0,3.9444479942321777,6.102097892761231,68.85150581199784,1935,3.5582173546252114,zamba2,attn
40,0.37037037037037035,512,4,0,10.075648307800293,19.11025671005249,46.62350586773885,1935,2.409483507376685,zamba2,attn
40,0.37037037037037035,512,16,0,42.02649688720703,60.77546588897705,30.04022694035923,1935,1.5524665085456966,zamba2,attn
40,0.37037037037037035,1024,1,0,5.267967939376831,12.205138111114502,64.09330426561802,1935,3.3123154659234113,zamba2,attn
40,0.37037037037037035,1024,4,0,23.110655784606934,405.90892395019347,31.760379577324226,1935,1.6413632856498308,zamba2,attn
40,0.37037037037037035,1024,16,0,86.03340911865234,123.15846839904783,26.959876817169334,1935,1.3932752877090095,zamba2,attn
40,0.37037037037037035,2048,1,0,13.633536338806152,20.040725193023682,34.45636086822765,1935,1.7806904841461315,zamba2,attn
40,0.37037037037037035,2048,4,0,47.896575927734375,72.68108100891114,26.358575316632635,1935,1.3622002747613766,zamba2,attn
40,0.37037037037037035,2048,16,0,194.0997085571289,236.26921691894532,22.84073150318582,1935,1.180399560888156,zamba2,attn
40,0.37037037037037035,4096,1,0,29.148672103881836,46.30114250183105,25.181359802055958,1935,1.3013622636721425,zamba2,attn
40,0.37037037037037035,4096,4,0,117.10515213012695,156.80139572143554,19.80655906089113,1935,1.0235947835085855,zamba2,attn
40,0.37037037037037035,4096,16,0,292.4364776611328,509.2532080078125,29.617501309246382,1935,1.5306202227000716,zamba2,attn
54,0.5,256,1,0,0.7178239822387695,3.4203034138679502,332.32525786614195,1935,17.174431931066767,zamba2,attn
54,0.5,256,4,0,1.9322880506515503,2.3500800132751465,174.73661439149836,1935,9.030315989224722,zamba2,attn
54,0.5,256,16,0,15.0830078125,26.11648561477661,48.66424582712852,1935,2.5149481047611637,zamba2,attn
54,0.5,512,1,0,3.9162880182266235,6.050918459892273,69.34658092970842,1935,3.583802632026275,zamba2,attn
54,0.5,512,4,0,9.185791969299316,13.427937717437745,51.14007040111893,1935,2.6428976951482652,zamba2,attn
54,0.5,512,16,0,33.26003074645996,47.75788619995117,37.95803779088127,1935,1.961655699787146,zamba2,attn
54,0.5,1024,1,0,4.932096004486084,10.094427890777572,68.45800886537724,1935,3.5378815951099347,zamba2,attn
54,0.5,1024,4,0,18.44172763824463,26.836500492095947,39.801216805621685,1935,2.056910429231095,zamba2,attn
54,0.5,1024,16,0,70.09996795654297,96.87929183959957,33.087748534177585,1935,1.709961164556981,zamba2,attn
54,0.5,2048,1,0,7.10912013053894,14.014597492218018,66.07878884786653,1935,3.4149244882618364,zamba2,attn
54,0.5,2048,4,0,38.25152015686035,54.936648521423336,33.004845266876934,1935,1.7056767579781362,zamba2,attn
54,0.5,2048,16,0,153.30713653564453,194.43511810302735,28.91828409416036,1935,1.4944849661064785,zamba2,attn
54,0.5,4096,1,0,23.7445125579834,34.24789569854736,30.912540243038716,1935,1.5975472993818458,zamba2,attn
54,0.5,4096,4,0,91.48365020751953,129.97051727294922,25.35371191178544,1935,1.3102693494462758,zamba2,attn
54,0.5,4096,16,0,201.29843139648438,214.89255950927733,43.02685172414745,1935,2.2236099082246743,zamba2,attn
68,0.6296296296296297,256,1,0,0.5529599785804749,1.0323148715496062,431.4074241184573,1935,22.29495731878332,zamba2,attn
68,0.6296296296296297,256,4,0,1.9496959447860718,4.113500247001648,173.17647549246317,1935,8.949688655941248,zamba2,attn
68,0.6296296296296297,256,16,0,6.660095930099487,13.033564224243165,110.20910324771187,1935,5.695560891354618,zamba2,attn
68,0.6296296296296297,512,1,0,0.8478720188140869,3.3945703387260435,320.3091716363736,1935,16.553445562603287,zamba2,attn
68,0.6296296296296297,512,4,0,3.4273279905319214,7.897466931343078,137.06363945841463,1935,7.083392220073108,zamba2,attn
68,0.6296296296296297,512,16,0,13.190655708312988,25.65595119476318,95.71059482693941,1935,4.946283970384465,zamba2,attn
68,0.6296296296296297,1024,1,0,2.0889599323272705,4.262983479499817,161.6313777851354,1935,8.353042779593562,zamba2,attn
68,0.6296296296296297,1024,4,0,7.129087924957275,13.534484777450562,102.95892093439132,1935,5.320874466893608,zamba2,attn
68,0.6296296296296297,1024,16,0,27.358720779418945,50.16014705657959,84.77918725442913,1935,4.381353346482126,zamba2,attn
68,0.6296296296296297,2048,1,0,4.131839990615845,8.411145915985108,113.69318489266634,1935,5.875616790318674,zamba2,attn
68,0.6296296296296297,2048,4,0,15.29753589630127,29.735547256469726,82.52868387158034,1935,4.265048262097175,zamba2,attn
68,0.6296296296296297,2048,16,0,60.31923294067383,101.50182594299316,73.49860254954486,1935,3.798377392741336,zamba2,attn
68,0.6296296296296297,4096,1,0,9.377280235290527,17.828904113769532,78.27463631060601,1935,4.045200842925375,zamba2,attn
68,0.6296296296296297,4096,4,0,35.79033660888672,66.73734664916992,64.80660233366126,1935,3.3491784151762927,zamba2,attn
68,0.6296296296296297,4096,16,0,163.1595458984375,184.17082931518556,53.08446840978211,1935,2.743383380350497,zamba2,attn
81,0.75,256,1,0,0.5416960120201111,1.0281266736984243,440.3780620617593,1935,22.75855617890229,zamba2,attn
81,0.75,256,4,0,1.6435199975967407,3.7990912795066833,205.4380065309341,1935,10.61695124190874,zamba2,attn
81,0.75,256,16,0,5.552128076553345,12.14570517539978,132.20213760912648,1935,6.832151814425141,zamba2,attn
81,0.75,512,1,0,0.8376320004463196,3.364976749420166,324.2249387025472,1935,16.755810785661353,zamba2,attn
81,0.75,512,4,0,2.9706239700317383,7.572500681877136,158.1358168314319,1935,8.172393634699322,zamba2,attn
81,0.75,512,16,0,11.509247779846191,21.913232021331787,109.69313791390734,1935,5.668896016222601,zamba2,attn
81,0.75,1024,1,0,1.7740800380706787,3.934289836883545,190.3191878350578,1935,9.835616942380247,zamba2,attn
81,0.75,1024,4,0,6.053376197814941,12.60561421394348,121.25517661779382,1935,6.266417396268414,zamba2,attn
81,0.75,1024,16,0,24.00256061553955,44.852232704162596,96.633444620836,1935,4.993976466193075,zamba2,attn
81,0.75,2048,1,0,3.707904100418091,8.067123117446899,126.69207058160734,1935,6.54739382850684,zamba2,attn
81,0.75,2048,4,0,13.189631938934326,25.826692600250244,95.71802381181564,1935,4.946667897251454,zamba2,attn
81,0.75,2048,16,0,52.56755256652832,91.14534111022948,84.3368030571561,1935,4.358491114064915,zamba2,attn
81,0.75,4096,1,0,7.931391954421997,16.597371368408204,92.54405837184359,1935,4.782638675547473,zamba2,attn
81,0.75,4096,4,0,31.127552032470703,55.81236125946043,74.51437586805625,1935,3.850872137884044,zamba2,attn
81,0.75,4096,16,0,136.38092803955078,165.7324481201172,63.50769044105801,1935,3.2820511855843932,zamba2,attn
94,0.8703703703703703,256,1,0,0.42291200160980225,0.871055371165275,564.0677944630618,1935,29.150790411527737,zamba2,attn
94,0.8703703703703703,256,4,0,1.6383999586105347,3.8103756070137025,206.0800052060188,1935,10.650129468011308,zamba2,attn
94,0.8703703703703703,256,16,0,5.175807952880859,9.394400815963746,141.81422623910402,1935,7.328900580832248,zamba2,attn
94,0.8703703703703703,512,1,0,0.7874559760093689,3.2974951124191283,344.8842757868267,1935,17.82347678484893,zamba2,attn
94,0.8703703703703703,512,4,0,2.697216033935547,4.837253050804116,174.16552552320528,1935,9.000802352620427,zamba2,attn
94,0.8703703703703703,512,16,0,10.619391918182373,18.901023559570312,118.88491485453044,1935,6.143923248296146,zamba2,attn
94,0.8703703703703703,1024,1,0,1.7597440481185913,3.9331941485404966,191.8696485213206,1935,9.915744109628973,zamba2,attn
94,0.8703703703703703,1024,4,0,5.550591945648193,12.189901113510132,132.2387246598946,1935,6.834042618082408,zamba2,attn
94,0.8703703703703703,1024,16,0,22.11942481994629,40.376442756652835,104.86032665317887,1935,5.419138328329658,zamba2,attn
94,0.8703703703703703,2048,1,0,3.092479944229126,7.681054792404175,151.90463850109117,1935,7.850368914785073,zamba2,attn
94,0.8703703703703703,2048,4,0,12.31718397140503,22.63965696334839,102.49790105684258,1935,5.297049150224423,zamba2,attn
94,0.8703703703703703,2048,16,0,47.9738883972168,84.60912811279297,92.4123408820287,1935,4.775831570130682,zamba2,attn
94,0.8703703703703703,4096,1,0,7.354367971420288,13.629491500854492,99.805068613972,1935,5.15788468289261,zamba2,attn
94,0.8703703703703703,4096,4,0,28.500991821289062,50.868306999206546,81.38138232324486,1935,4.205756192415755,zamba2,attn
94,0.8703703703703703,4096,16,0,119.05996704101562,154.59500915527343,72.74685165179193,1935,3.75952721714687,zamba2,attn
108,1.0,256,1,0,0.4116480052471161,0.8618905609846109,579.5024801754976,1935,29.94844858788101,zamba2,attn
108,1.0,256,4,0,1.6383999586105347,3.8041601181030273,206.0800052060188,1935,10.650129468011308,zamba2,attn
108,1.0,256,16,0,4.9617919921875,9.164370317459106,147.93107029793097,1935,7.64501655286465,zamba2,attn
108,1.0,512,1,0,0.7802879810333252,2.068520882129658,348.05250189852796,1935,17.987209400440722,zamba2,attn
108,1.0,512,4,0,2.678783893585205,4.779089832305909,175.36392133942704,1935,9.062734952941966,zamba2,attn
108,1.0,512,16,0,9.768447875976562,18.158233585357664,129.24115683770162,1935,6.679129552336001,zamba2,attn
108,1.0,1024,1,0,1.7582080364227295,3.9035288810729982,192.03727033745636,1935,9.924406735785858,zamba2,attn
108,1.0,1024,4,0,5.301247835159302,9.56430364608764,138.45857104282,1935,7.155481707639277,zamba2,attn
108,1.0,1024,16,0,20.17689609527588,36.14978897094726,114.95574448356629,1935,5.940865347987922,zamba2,attn
108,1.0,2048,1,0,3.054080009460449,7.684536180496216,153.81458460316853,1935,7.949074139698633,zamba2,attn
108,1.0,2048,4,0,11.253759860992432,21.671976985931398,112.18344087614693,1935,5.7975938437285235,zamba2,attn
108,1.0,2048,16,0,43.96390342712402,76.60784889221192,100.84134897959895,1935,5.211439223751883,zamba2,attn
108,1.0,4096,1,0,6.986752033233643,13.305354690551757,105.05642629201554,1935,5.42927267658995,zamba2,attn
108,1.0,4096,4,0,26.035712242126465,45.98483959197998,89.0872540927484,1935,4.60399245957356,zamba2,attn
108,1.0,4096,16,0,106.44940948486328,145.1779022216797,81.36482674647056,1935,4.204900607052742,zamba2,attn
