"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_7b,verified,attn,16,4096,54,ok,30,3.14266,0.01825,598.574,29.356
zamba2_7b,verified,attn,32,4096,54,ok,30,5.96378,0.00177,630.846,30.939
zamba2_7b,verified,attn,64,4096,54,ok,30,11.90502,0.01948,632.04,30.998
zamba2_7b,verified,attn,128,4096,54,ok,30,23.7783,0.09939,632.884,31.039
zamba2_7b,verified,attn,256,4096,54,ok,30,47.37638,0.01024,635.291,31.157
zamba2_7b,,attn,512,4096,54,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,54,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,54,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,68,ok,30,0.13926,0.00194,844.221,41.404
zamba2_7b,verified,attn,2,4096,68,ok,30,0.22886,0.00117,1027.418,50.388
zamba2_7b,verified,attn,4,4096,68,ok,30,0.4224,0.00171,1113.348,54.603
zamba2_7b,verified,attn,8,4096,68,ok,30,1.27283,0.00133,738.948,36.241
zamba2_7b,verified,attn,16,4096,68,ok,30,2.51802,0.00142,747.061,36.639
zamba2_7b,verified,attn,32,4096,68,ok,30,5.00019,0.01623,752.416,36.901
zamba2_7b,verified,attn,64,4096,68,ok,30,9.67731,0.0042,777.535,38.133
zamba2_7b,verified,attn,128,4096,68,ok,30,19.04742,0.02049,790.075,38.748
zamba2_7b,verified,attn,256,4096,68,ok,30,37.72006,0.02853,797.926,39.133
zamba2_7b,,attn,512,4096,68,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,68,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,68,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,81,ok,30,0.13926,0.00204,844.221,41.404
zamba2_7b,verified,attn,2,4096,81,ok,30,0.22886,0.00227,1027.418,50.388
zamba2_7b,verified,attn,4,4096,81,ok,30,0.36454,0.00136,1290.045,63.269
zamba2_7b,verified,attn,8,4096,81,ok,30,1.27181,0.00082,739.543,36.27
zamba2_7b,verified,attn,16,4096,81,ok,30,2.20774,0.00162,852.052,41.788
zamba2_7b,verified,attn,32,4096,81,ok,30,4.08064,0.01764,921.969,45.217
zamba2_7b,verified,attn,64,4096,81,ok,30,7.8423,0.00257,959.469,47.056
zamba2_7b,verified,attn,128,4096,81,ok,30,15.67437,0.02169,960.096,47.087
zamba2_7b,verified,attn,256,4096,81,ok,30,31.28627,0.04324,962.013,47.181
zamba2_7b,,attn,512,4096,81,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,81,failed:OSError,0,,,,
