"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm,4,16384,54,ok,30,0.50995,0.00806,0.106,0.005
falcon_h1_1.5b,verified,ssm,8,1024,54,ok,30,0.52736,0.00746,0.204,0.01
falcon_h1_1.5b,verified,ssm,8,4096,54,ok,30,0.53043,0.00755,0.203,0.01
falcon_h1_1.5b,verified,ssm,8,16384,54,ok,30,0.52992,0.0517,0.203,0.01
falcon_h1_1.5b,verified,ssm,16,1024,54,ok,30,0.57498,0.0103,0.374,0.018
falcon_h1_1.5b,verified,ssm,16,4096,54,ok,30,0.57037,0.00598,0.377,0.018
falcon_h1_1.5b,verified,ssm,16,16384,54,ok,30,0.56678,0.00644,0.379,0.019
falcon_h1_1.5b,verified,ssm,32,1024,54,ok,30,0.64819,0.01341,0.662,0.032
falcon_h1_1.5b,verified,ssm,32,4096,54,ok,30,0.64358,0.00694,0.667,0.033
falcon_h1_1.5b,verified,ssm,32,16384,54,ok,30,0.64051,0.00651,0.67,0.033
falcon_h1_1.5b,verified,ssm,64,1024,54,ok,30,1.01786,0.00866,0.843,0.041
falcon_h1_1.5b,verified,ssm,64,4096,54,ok,30,1.01786,0.00556,0.843,0.041
falcon_h1_1.5b,verified,ssm,64,16384,54,ok,30,1.0199,0.00517,0.842,0.041
falcon_h1_1.5b,verified,ssm,128,1024,54,ok,30,1.85139,0.01487,0.927,0.045
falcon_h1_1.5b,verified,ssm,128,4096,54,ok,30,1.8519,0.02486,0.927,0.045
falcon_h1_1.5b,verified,ssm,128,16384,54,ok,30,1.85037,0.01092,0.928,0.045
falcon_h1_1.5b,verified,ssm,256,1024,54,ok,30,3.52512,0.02298,0.974,0.048
