"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm,32,16384,68,ok,30,0.62771,0.00363,0.891,0.044
falcon_h1_3b,verified,ssm,128,1024,68,ok,30,1.91898,0.00424,1.166,0.057
falcon_h1_3b,verified,ssm,128,4096,68,ok,30,1.92051,0.00441,1.165,0.057
falcon_h1_3b,verified,ssm,128,16384,68,ok,30,1.92051,0.00525,1.165,0.057
falcon_h1_3b,verified,ssm,256,1024,68,ok,30,3.63776,0.00453,1.23,0.06
falcon_h1_3b,verified,ssm,256,4096,68,ok,30,3.63878,0.06418,1.229,0.06
falcon_h1_3b,verified,ssm,256,16384,68,ok,30,3.6393,0.00534,1.229,0.06
falcon_h1_3b,verified,attn,8,1024,68,ok,30,0.06963,0.00132,123.059,6.035
falcon_h1_3b,verified,attn,8,4096,68,ok,30,0.13722,0.00176,245.851,12.057
falcon_h1_3b,verified,attn,8,16384,68,ok,30,0.43008,0.00391,312.495,15.326
falcon_h1_3b,verified,attn,32,1024,68,ok,30,0.22221,0.00151,154.249,7.565
falcon_h1_3b,verified,attn,32,4096,68,ok,30,0.75981,0.00135,177.596,8.71
falcon_h1_3b,verified,attn,32,16384,68,ok,30,2.90611,0.00138,184.987,9.072
falcon_h1_3b,verified,attn,128,1024,68,ok,30,0.75264,0.00095,182.161,8.934
falcon_h1_3b,verified,attn,128,4096,68,ok,30,2.71616,0.00159,198.72,9.746
falcon_h1_3b,verified,attn,128,16384,68,ok,30,10.57229,0.01396,203.397,9.975
falcon_h1_3b,verified,attn,256,1024,68,ok,30,1.47149,0.00074,186.344,9.139
falcon_h1_3b,verified,attn,256,4096,68,ok,30,5.43539,0.03723,198.607,9.74
falcon_h1_3b,verified,attn,256,16384,68,ok,30,20.99558,0.04258,204.84,10.046
falcon_h1_3b,verified,ssm,8,1024,81,ok,30,0.5161,0.01015,0.271,0.013
falcon_h1_3b,verified,ssm,8,4096,81,ok,30,0.512,0.00672,0.273,0.013
falcon_h1_3b,verified,ssm,8,16384,81,ok,30,0.50944,0.0059,0.275,0.013
falcon_h1_3b,verified,ssm,32,1024,81,ok,30,0.59443,0.00495,0.941,0.046
falcon_h1_3b,verified,ssm,32,4096,81,ok,30,0.59443,0.00444,0.941,0.046
falcon_h1_3b,verified,ssm,32,16384,81,ok,30,0.59392,0.00492,0.942,0.046
falcon_h1_3b,verified,ssm,128,1024,81,ok,30,1.7664,0.00447,1.266,0.062
falcon_h1_3b,verified,ssm,128,4096,81,ok,30,1.7664,0.00399,1.266,0.062
falcon_h1_3b,verified,ssm,128,16384,81,ok,30,1.76845,0.00318,1.265,0.062
falcon_h1_3b,verified,ssm,256,1024,81,ok,30,3.32186,0.00519,1.347,0.066
falcon_h1_3b,verified,ssm,256,4096,81,ok,30,3.32186,0.00415,1.347,0.066
falcon_h1_3b,verified,ssm,256,16384,81,ok,30,3.3239,0.06212,1.346,0.066
falcon_h1_3b,verified,attn,8,1024,81,ok,30,0.06758,0.0014,126.788,6.218
falcon_h1_3b,verified,attn,8,4096,81,ok,30,0.14234,0.00235,237.007,11.624
falcon_h1_3b,verified,attn,8,16384,81,ok,30,0.45005,0.00293,298.63,14.646
falcon_h1_3b,verified,attn,32,1024,81,ok,30,0.18022,0.00084,190.182,9.327
