model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
zamba2,a100-80gb,2048,4,27,25.0,512,4,896,False,3.18668794631958,0.004760382080063416
zamba2,a100-80gb,2048,16,27,25.0,512,4,3584,False,10.871808052062988,0.00386937001746529
zamba2,a100-80gb,2048,32,27,25.0,512,4,7168,False,21.46048069000244,0.0044293484361649605
zamba2,a100-80gb,4096,1,27,25.0,512,8,224,False,4.172800064086914,0.01738624622838936
zamba2,a100-80gb,4096,4,27,25.0,512,8,896,False,5.945856094360352,0.004153829653102539
zamba2,a100-80gb,4096,16,27,25.0,512,8,3584,False,21.501952171325684,0.006490395551826524
zamba2,a100-80gb,4096,32,27,25.0,512,8,7168,False,42.68748664855957,0.0636247247470063
zamba2,a100-80gb,8192,1,27,25.0,512,16,224,False,8.135168075561523,0.03649254671202024
zamba2,a100-80gb,8192,4,27,25.0,512,16,896,False,11.44320011138916,0.008564637230181004
zamba2,a100-80gb,8192,16,27,25.0,512,16,3584,False,42.766334533691406,0.004118439715463985
zamba2,a100-80gb,8192,32,27,25.0,512,16,7168,False,85.16761779785156,0.013716771662529883
zamba2,a100-80gb,512,1,40,37.0,512,1,224,False,0.6620160043239594,0.008875318349356408
zamba2,a100-80gb,512,4,40,37.0,512,1,896,False,0.9615359902381897,0.01110041623821809
zamba2,a100-80gb,512,16,40,37.0,512,1,3584,False,2.1319680213928223,0.007196345019971214
zamba2,a100-80gb,512,32,40,37.0,512,1,7168,False,3.9987199306488037,0.0033182544319803973
zamba2,a100-80gb,1024,1,40,37.0,512,2,224,False,1.16428804397583,0.007349384218735868
zamba2,a100-80gb,1024,4,40,37.0,512,2,896,False,1.4673919677734375,0.005503832173595432
zamba2,a100-80gb,1024,16,40,37.0,512,2,3584,False,4.02944016456604,0.005439909835840104
zamba2,a100-80gb,1024,32,40,37.0,512,2,7168,False,7.766016006469727,0.0043174200563321306
zamba2,a100-80gb,2048,1,40,37.0,512,4,224,False,2.1693440675735474,0.015445479624862795
zamba2,a100-80gb,2048,4,40,37.0,512,4,896,False,2.4832000732421875,0.007681887462504294
zamba2,a100-80gb,2048,16,40,37.0,512,4,3584,False,7.810559988021851,0.004040166584300443
zamba2,a100-80gb,2048,32,40,37.0,512,4,7168,False,15.30624008178711,0.0032092332227409877
zamba2,a100-80gb,4096,1,40,37.0,512,8,224,False,4.164608001708984,0.022753374270650065
zamba2,a100-80gb,4096,4,40,37.0,512,8,896,False,4.464640140533447,0.011853683171361366
zamba2,a100-80gb,4096,16,40,37.0,512,8,3584,False,15.38918399810791,0.005530168718646349
zamba2,a100-80gb,4096,32,40,37.0,512,8,7168,False,30.38361644744873,0.006422873276111249
zamba2,a100-80gb,8192,1,40,37.0,512,16,224,False,8.09216022491455,0.03251136052694499
zamba2,a100-80gb,8192,4,40,37.0,512,16,896,False,8.504319667816162,0.02954636497242116
zamba2,a100-80gb,8192,16,40,37.0,512,16,3584,False,30.537216186523438,0.006796010438185119
zamba2,a100-80gb,8192,32,40,37.0,512,16,7168,False,60.53068923950195,0.007555943830537325
zamba2,a100-80gb,512,1,54,50.0,512,1,224,False,0.6343680024147034,0.010366644563390901
zamba2,a100-80gb,512,4,54,50.0,512,1,896,False,0.8524799942970276,0.007189107624230544
zamba2,a100-80gb,512,16,54,50.0,512,1,3584,False,1.7034239768981934,0.0065913628169607915
zamba2,a100-80gb,512,32,54,50.0,512,1,7168,False,3.0853118896484375,0.004559018823639231
