"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,two_stream,,108,108,ok,0.5074,0.4992,0.5212,0.5181,0.5212,0.5178,1.9312,3.7949,736.7387
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5074,0.4992,0.5304,0.9441,0.9441,0.9379,1.0662,89.1282,406.7245
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.7,76,32,ok,0.5074,0.4992,0.5361,1.5503,1.5503,1.5402,0.6493,210.5641,247.6882
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,sequential,,108,108,ok,0.5089,0.9626,0.5089,0.9626,1.4715,1.0,1.0,0.0,347.9471
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,two_stream,,108,108,ok,0.5089,0.9626,0.5228,0.9841,0.9841,0.6688,1.4953,2.234,520.2914
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.5,54,54,ok,0.5089,0.9626,0.535,1.8499,1.8499,1.2571,0.7955,92.1809,276.7783
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.7,76,32,ok,0.5089,0.9626,0.5356,3.0582,3.0582,2.0783,0.4812,217.7128,167.4201
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,sequential,,108,108,ok,0.511,0.085,0.511,0.085,0.596,1.0,1.0,0.0,442.9768
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,two_stream,,108,108,ok,0.511,0.085,0.5084,0.1065,0.5084,0.8531,1.1722,25.3012,519.2598
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,green_ctx,0.5,54,54,ok,0.511,0.085,0.5166,0.1224,0.5166,0.8668,1.1536,43.9759,511.0258
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,green_ctx,0.7,76,32,ok,0.511,0.085,0.5171,0.1587,0.5171,0.8677,1.1525,86.747,510.5198
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,sequential,,108,108,ok,0.51,0.2601,0.51,0.2601,0.77,1.0,1.0,0.0,374.0026
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,two_stream,,108,108,ok,0.51,0.2601,0.5125,0.2796,0.5125,0.6656,1.5025,7.4803,561.9381
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,green_ctx,0.5,54,54,ok,0.51,0.2601,0.5217,0.4741,0.5217,0.6775,1.476,82.2835,552.0118
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,green_ctx,0.7,76,32,ok,0.51,0.2601,0.5284,0.7629,0.7629,0.9907,1.0094,193.3071,377.5168
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,sequential,,108,108,ok,0.5094,0.47,0.5094,0.47,0.9795,1.0,1.0,0.0,326.712
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,two_stream,,108,108,ok,0.5094,0.47,0.5202,0.4864,0.5202,0.5311,1.8829,3.4858,615.1574
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,green_ctx,0.5,54,54,ok,0.5094,0.47,0.532,0.9062,0.9062,0.9252,1.0808,92.8105,353.1073
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,green_ctx,0.7,76,32,ok,0.5094,0.47,0.533,1.4807,1.4807,1.5118,0.6615,215.0327,216.1134
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,sequential,,108,108,ok,0.5069,0.9124,0.5069,0.9124,1.4193,1.0,1.0,0.0,270.5628
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,two_stream,,108,108,ok,0.5069,0.9124,0.5228,0.937,0.937,0.6602,1.5148,2.6936,409.8361
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,green_ctx,0.5,54,54,ok,0.5069,0.9124,0.5335,1.7838,1.7838,1.2569,0.7956,95.5107,215.2698
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,green_ctx,0.7,76,32,ok,0.5069,0.9124,0.5366,2.9348,2.9348,2.0678,0.4836,221.6611,130.8444
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,sequential,,108,108,ok,0.512,1.8176,0.512,1.8176,2.3296,1.0,1.0,0.0,219.7802
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,two_stream,,108,108,ok,0.512,1.8176,0.5299,1.919,1.919,0.8237,1.214,5.5775,266.809
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,green_ctx,0.5,54,54,ok,0.512,1.8176,0.5361,3.5215,3.5215,1.5116,0.6615,93.7465,145.3911
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,green_ctx,0.7,76,32,ok,0.512,1.8176,0.5396,5.8245,5.8245,2.5002,0.4,220.4507,87.9044
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,sequential,,108,108,ok,0.5115,0.1352,0.5115,0.1352,0.6467,1.0,1.0,0.0,408.2541
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,two_stream,,108,108,ok,0.5115,0.1352,0.512,0.1495,0.512,0.7918,1.263,10.6061,515.625
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.5,54,54,ok,0.5115,0.1352,0.5181,0.1761,0.5181,0.8013,1.248,30.303,509.5109
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.7,76,32,ok,0.5115,0.1352,0.5243,0.2458,0.5243,0.8108,1.2334,81.8182,503.54
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,sequential,,108,108,ok,0.5089,0.4838,0.5089,0.4838,0.9928,1.0,1.0,0.0,290.098
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,two_stream,,108,108,ok,0.5089,0.4838,0.5156,0.5028,0.5156,0.5193,1.9255,3.9153,558.5899
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.5,54,54,ok,0.5089,0.4838,0.5299,0.8909,0.8909,0.8974,1.1144,84.127,323.2759
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.7,76,32,ok,0.5089,0.4838,0.5335,1.4531,1.4531,1.4636,0.6832,200.3175,198.203
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,sequential,,108,108,ok,0.5115,0.8878,0.5115,0.8878,1.3993,1.0,1.0,0.0,228.6864
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,two_stream,,108,108,ok,0.5115,0.8878,0.5233,0.9062,0.9062,0.6476,1.5441,2.0761,353.1073
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.5,54,54,ok,0.5115,0.8878,0.5376,1.7326,1.7326,1.2382,0.8076,95.1557,184.6927
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.7,76,32,ok,0.5115,0.8878,0.534,2.8498,2.8498,2.0366,0.491,220.9919,112.2889
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,sequential,,108,108,ok,0.5125,1.7802,0.5125,1.7802,2.2927,1.0,1.0,0.0,167.4855
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,two_stream,,108,108,ok,0.5125,1.7802,0.5274,1.898,1.898,0.8278,1.208,6.6149,202.3199
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.5,54,54,ok,0.5125,1.7802,0.535,3.4427,3.4427,1.5016,0.666,93.3851,111.5407
