"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,green_ctx,0.7,76,32,ok,0.512,1.4029,0.5417,4.6362,4.6362,2.4211,0.413,230.4745,110.4362
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,sequential,,108,108,ok,0.5135,0.1126,0.5135,0.1126,0.6262,1.0,1.0,0.0,421.6067
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,two_stream,,108,108,ok,0.5135,0.1126,0.5197,0.1254,0.5197,0.8299,1.2049,11.3636,508.0049
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.5,54,54,ok,0.5135,0.1126,0.5217,0.1469,0.5217,0.8332,1.2002,30.4545,506.0108
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.7,76,32,ok,0.5135,0.1126,0.5222,0.1915,0.5222,0.834,1.199,70.0,505.5147
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,sequential,,108,108,ok,0.513,0.4818,0.513,0.4818,0.9948,1.0,1.0,0.0,289.5008
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,two_stream,,108,108,ok,0.513,0.4818,0.5217,0.4956,0.5217,0.5244,1.9068,2.8693,552.0118
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.5,54,54,ok,0.513,0.4818,0.5309,0.7639,0.7639,0.7679,1.3023,58.5547,377.0107
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.7,76,32,ok,0.513,0.4818,0.5371,1.1715,1.1715,1.1776,0.8492,143.1456,245.8479
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,sequential,,108,108,ok,0.5135,0.7567,0.5135,0.7567,1.2703,1.0,1.0,0.0,251.9146
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,two_stream,,108,108,ok,0.5135,0.7567,0.5263,0.7711,0.7711,0.607,1.6474,1.8945,415.0067
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.5,54,54,ok,0.5135,0.7567,0.5376,1.451,1.451,1.1423,0.8754,91.7456,220.5364
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.7,76,32,ok,0.5135,0.7567,0.5391,2.2907,2.2907,1.8033,0.5545,202.7064,139.696
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,sequential,,108,108,ok,0.5089,1.4495,0.5089,1.4495,1.9584,1.0,1.0,0.0,196.0784
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,two_stream,,108,108,ok,0.5089,1.4495,0.532,1.5191,1.5191,0.7757,1.2892,4.804,252.7806
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.5,54,54,ok,0.5089,1.4495,0.5407,2.7587,2.7587,1.4086,0.7099,90.3214,139.1982
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.7,76,32,ok,0.5089,1.4495,0.5443,4.5251,4.5251,2.3106,0.4328,212.1865,84.8608
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,sequential,,108,108,ok,0.511,2.9517,0.511,2.9517,3.4627,1.0,1.0,0.0,147.8634
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,two_stream,,108,108,ok,0.511,2.9517,0.5361,2.9686,2.9686,0.8573,1.1664,0.5724,172.4733
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.5,54,54,ok,0.511,2.9517,0.5386,5.419,5.419,1.565,0.639,83.5906,94.4822
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.7,76,32,ok,0.511,2.9517,0.5422,8.9917,8.9917,2.5968,0.3851,204.6314,56.9411
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,sequential,,108,108,ok,0.512,0.1915,0.512,0.1915,0.7035,1.0,1.0,0.0,375.2729
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,two_stream,,108,108,ok,0.512,0.1915,0.5176,0.1951,0.5176,0.7358,1.3591,1.8717,510.0148
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.5,54,54,ok,0.512,0.1915,0.5243,0.2386,0.5243,0.7453,1.3418,24.5989,503.54
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.7,76,32,ok,0.512,0.1915,0.5284,0.3267,0.5284,0.7511,1.3314,70.5882,499.6367
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,sequential,,108,108,ok,0.513,0.9257,0.513,0.9257,1.4387,1.0,1.0,0.0,200.1779
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,two_stream,,108,108,ok,0.513,0.9257,0.5253,0.9411,0.9411,0.6541,1.5288,1.6593,306.0392
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.5,54,54,ok,0.513,0.9257,0.5371,1.4756,1.4756,1.0256,0.975,59.4027,195.177
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.7,76,32,ok,0.513,0.9257,0.5412,2.2794,2.2794,1.5843,0.6312,146.2389,126.3477
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,sequential,,108,108,ok,0.5146,1.4684,0.5146,1.4684,1.983,1.0,1.0,0.0,161.3736
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,two_stream,,108,108,ok,0.5146,1.4684,0.5279,1.5452,1.5452,0.7792,1.2833,5.2301,207.0908
