"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,two_stream,,108,108,ok,0.514,3.9311,0.5304,3.8164,3.8164,0.8586,1.1647,-2.9174,83.8476
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.5,54,54,ok,0.514,3.9311,0.5443,6.9166,6.9166,1.556,0.6427,75.9443,46.2655
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.7,76,32,ok,0.514,3.9311,0.5412,11.4831,11.4831,2.5833,0.3871,192.1073,27.867
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,sequential,,108,108,ok,0.5135,7.9718,0.5135,7.9718,8.4854,1.0,1.0,0.0,45.2543
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,two_stream,,108,108,ok,0.5135,7.9718,0.534,7.7476,7.7476,0.9131,1.0952,-2.8131,49.5638
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.5,54,54,ok,0.5135,7.9718,0.5437,13.5972,13.5972,1.6024,0.6241,70.5652,28.2411
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.7,76,32,ok,0.5135,7.9718,0.5427,22.8746,22.8746,2.6958,0.371,186.9428,16.7872
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,sequential,,108,108,ok,0.5146,15.8316,0.5146,15.8316,16.3461,1.0,1.0,0.0,31.3224
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,two_stream,,108,108,ok,0.5146,15.8316,0.533,15.5658,15.5658,0.9523,1.0501,-1.6785,32.8926
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.5,54,54,ok,0.5146,15.8316,0.5437,27.1196,27.1196,1.6591,0.6027,71.3011,18.8793
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.7,76,32,ok,0.5146,15.8316,0.5412,45.5117,45.5117,2.7843,0.3592,187.4745,11.2499
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,sequential,,108,108,ok,0.514,1.194,0.514,1.194,1.708,1.0,1.0,0.0,154.5638
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,two_stream,,108,108,ok,0.514,1.194,0.535,1.2063,1.2063,0.7062,1.416,1.0292,218.8561
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.5,54,54,ok,0.514,1.194,0.5458,1.8678,1.8678,1.0935,0.9145,56.4322,141.3446
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.7,76,32,ok,0.514,1.194,0.5422,2.9071,2.9071,1.702,0.5875,143.482,90.811
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,sequential,,108,108,ok,0.5161,4.0443,0.5161,4.0443,4.5604,1.0,1.0,0.0,63.1526
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,two_stream,,108,108,ok,0.5161,4.0443,0.533,3.9342,3.9342,0.8627,1.1592,-2.7219,73.2041
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.5,54,54,ok,0.5161,4.0443,0.5468,6.9043,6.9043,1.514,0.6605,70.7178,41.713
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.7,76,32,ok,0.5161,4.0443,0.5463,11.4043,11.4043,2.5007,0.3999,181.9851,25.2537
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,sequential,,108,108,ok,0.5151,7.9652,0.5151,7.9652,8.4803,1.0,1.0,0.0,37.7347
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,two_stream,,108,108,ok,0.5151,7.9652,0.5345,7.721,7.721,0.9105,1.0983,-3.0661,41.4456
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.5,54,54,ok,0.5151,7.9652,0.5473,13.61,13.61,1.6049,0.6231,70.8684,23.5122
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.7,76,32,ok,0.5151,7.9652,0.5427,22.8378,22.8378,2.6931,0.3713,186.7198,14.0119
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,sequential,,108,108,ok,0.5181,15.7875,0.5181,15.7875,16.3057,1.0,1.0,0.0,23.5501
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,two_stream,,108,108,ok,0.5181,15.7875,0.5361,15.5039,15.5039,0.9508,1.0517,-1.7967,24.768
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.5,54,54,ok,0.5181,15.7875,0.5484,26.9425,26.9425,1.6523,0.6052,70.6567,14.2526
