timestamp_ms,sm_util_pct,mem_util_pct,memory_used_mb,power_w
48982.35768699646,100,17,12751.625,297.436
49776.891246795654,100,14,12751.625,301.989
50276.99755573273,100,17,12751.625,309.2
50777.091881752014,100,15,12751.625,305.625
51277.18374347687,99,17,12751.625,256.05
51792.3102312088,93,14,12751.625,246.721
52292.4045085907,93,14,12751.625,249.432
52792.515345573425,100,15,12751.625,303.183
53292.629499435425,100,14,12751.625,292.606
53792.723996162415,100,14,12751.625,307.736
54292.825927734375,100,15,12751.625,290.818
54792.91910171509,100,15,12751.625,302.259
55293.01172542572,100,17,12751.625,308.607
55793.119376182556,100,17,12751.625,295.911
56293.25567150116,100,16,12751.625,300.148
56793.34952735901,100,17,12751.625,289.301
57293.45141792297,100,14,12751.625,297.159
57793.54734802246,100,15,12751.625,309.855
58293.6415643692,100,14,12751.625,301.065
58793.735129356384,100,13,12751.625,307.736
59293.826290130615,100,16,12751.625,303.776
59793.935064315796,100,15,12751.625,297.76
60294.04664325714,100,17,12751.625,301.065
60794.14935493469,100,17,12751.625,287.775
61294.24830055237,100,15,12751.625,300.741
61794.339431762695,100,16,12751.625,309.531
62294.42725658417,100,14,12751.625,285.063
62794.52097129822,93,14,12751.625,248.766
63294.6222114563,93,14,12751.625,244.61
63794.7557516098,100,15,12751.625,298.622
64294.85114955902,100,17,12751.625,309.531
64794.949323654175,100,17,12751.625,304.701
65295.04486274719,100,16,12751.625,321.295
65795.15788459778,100,16,12751.625,299.547
66295.35925006866,100,14,12751.625,299.547
66795.45531082153,100,14,12751.625,308.607
67295.55837345123,100,14,12751.625,301.989
67795.64936351776,100,14,12751.625,306.82
68295.75294780731,100,16,12751.625,305.625
68795.86286354065,100,15,12751.625,300.471
69295.95939445496,100,17,12751.625,284.147
69796.04838180542,100,17,12751.625,303.776
70296.16404724121,100,15,12751.625,315.278
70796.27574634552,100,16,12751.625,300.741
71296.37248706818,100,14,12751.625,313.761
71817.32485198975,100,14,12751.625,282.629
72317.4313621521,100,15,12751.625,301.666
72817.57868766785,100,14,12751.625,314.03
73317.71650505066,100,17,12751.625,308.93
73817.86666679382,93,14,12751.625,246.051
74317.98511791229,93,14,12751.625,252.745
74818.10941028595,94,14,12751.625,293.53
75318.2521276474,100,14,12751.625,312.836
75818.36115169525,100,14,12751.625,291.681
76318.60058879852,100,14,12751.625,302.259
76818.72329425812,100,14,12751.625,315.548
77318.8639125824,100,16,12751.625,308.607
77862.22579860687,100,16,12751.625,307.089
78362.33473777771,100,17,12751.625,277.205
78862.4556388855,100,15,12751.625,300.148
79362.58725166321,100,16,12751.625,314.354
79862.70409679413,100,13,12751.625,304.1
80362.82055950165,100,14,12751.625,317.066
80862.92386817932,100,15,12751.625,294.724
81363.02824020386,100,15,12751.625,292.012
81863.16407966614,100,17,12751.625,308.337
82363.29909801483,100,17,12751.625,290.217
82863.40747642517,100,16,12751.625,310.448
83363.51331996918,100,17,12751.625,295.048
83863.60979747772,100,14,12751.625,304.971
84363.71323680878,100,15,12751.625,293.53
84863.81737709045,100,14,12751.625,257.565
85363.92736911774,93,14,12751.625,250.357
85864.03030776978,93,14,12751.625,254.856
86364.16192913055,100,16,12751.625,318.26
86864.26205253601,100,16,12751.625,287.775
87364.38225364685,100,17,12751.625,292.606
87864.47607421875,100,15,12751.625,313.43
88364.57399463654,100,15,12751.625,306.82
88864.67526912689,100,13,12751.625,318.584
89364.76893043518,100,14,12751.625,305.294
89864.87466430664,100,15,12751.625,298.954
90365.029047966,100,15,12751.625,316.796
90865.15356731415,100,17,12751.625,303.776
91365.2841873169,100,17,12751.625,307.413
91865.37595558167,100,16,12751.625,308.607
92365.47578716278,100,16,12751.625,307.089
92865.58404636383,100,14,12751.625,318.584
93365.67505264282,100,15,12751.625,292.336
93865.7681722641,100,14,12751.625,297.436
94365.86423873901,100,13,12751.625,310.125
94865.96232700348,100,15,12751.625,299.547
95366.06344223022,100,15,12751.625,287.775
95866.16963768005,100,17,12751.625,282.352
96366.2804107666,93,14,12751.625,249.109
96866.54966926575,94,14,12751.625,253.925
97366.65739631653,96,14,12751.625,309.855
97866.79129219055,100,13,12751.625,305.625
