"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6036,0.9769,0.681,1.8371,1.8371,1.1623,0.8604,88.0503,148.063
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6036,0.9769,0.6789,2.9123,2.9123,1.8426,0.5427,198.1132,93.3984
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,sequential,,108,108,ok,0.6103,1.8939,0.6103,1.8939,2.5042,1.0,1.0,0.0,115.0072
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6103,1.8939,0.6415,1.9676,1.9676,0.7857,1.2727,3.8929,146.37
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6103,1.8939,0.6784,3.4499,3.4499,1.3776,0.7259,82.1573,83.4817
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6103,1.8939,0.682,5.7718,5.7718,2.3048,0.4339,204.758,49.898
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,sequential,,108,108,ok,0.6098,3.8405,0.6098,3.8405,4.4503,1.0,1.0,0.0,71.9052
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6098,3.8405,0.6451,3.8052,3.8052,0.855,1.1695,-0.9199,84.0958
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6098,3.8405,0.6835,6.8992,6.8992,1.5503,0.645,79.6427,46.3822
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6098,3.8405,0.6835,11.499,11.499,2.5839,0.387,199.4134,27.8285
